,Volume,Centroid,Sphericity (axes),Image size,Total image volume,Total object volume (pixels),Filling ratio,Number objects
79,64,"(32.546875, 70.171875, 71.203125)",0.9502172289749701,,,,,
80,112,"(33.00892857142857, 74.25, 94.77678571428571)",0.7132885626350484,,,,,
81,207,"(34.570048309178745, 96.81159420289855, 107.8792270531401)",0.7574445527706132,,,,,
82,68,"(33.94117647058823, 40.470588235294116, 111.3529411764706)",0.927466493800934,,,,,
83,79,"(34.265822784810126, 79.31645569620254, 73.9620253164557)",0.926197634920166,,,,,
84,120,"(34.275, 96.86666666666666, 64.01666666666667)",0.8782710164218558,,,,,
85,70,"(34.55714285714286, 40.628571428571426, 98.12857142857143)",0.9122377096804979,,,,,
86,54,"(34.833333333333336, 63.96296296296296, 81.38888888888889)",0.9620871903007293,,,,,
87,55,"(34.836363636363636, 83.81818181818181, 104.01818181818182)",0.9506678057098848,,,,,
88,83,"(35.75903614457831, 29.710843373493976, 97.34939759036145)",0.9342284175669214,,,,,
89,44,"(35.54545454545455, 79.9090909090909, 63.02272727272727)",0.928654129687154,,,,,
90,51,"(35.94117647058823, 98.54901960784314, 98.31372549019608)",0.938342754065083,,,,,
91,78,"(37.05128205128205, 18.397435897435898, 102.5)",0.9143023348074593,,,,,
92,28,"(36.17857142857143, 35.714285714285715, 119.75)",0.9731890012544807,,,,,
93,70,"(36.34285714285714, 73.57142857142857, 107.48571428571428)",0.9353846141112349,,,,,
94,23,"(35.82608695652174, 87.08695652173913, 64.95652173913044)",0.9735626507411036,,,,,
95,165,"(38.47878787878788, 32.88484848484848, 112.27272727272727)",0.8694341361023864,,,,,
96,216,"(40.18055555555556, 78.01388888888889, 115.40277777777777)",0.7422515332032431,,,,,
97,49,"(38.734693877551024, 17.489795918367346, 115.0204081632653)",0.9117257129521664,,,,,
98,79,"(38.44303797468354, 79.30379746835443, 89.48101265822785)",0.926792268039478,,,,,
99,65,"(39.723076923076924, 56.52307692307692, 96.92307692307692)",0.9414163699656486,,,,,
100,125,"(41.72, 90.136, 105.184)",0.7989506722061872,,,,,
101,401,"(43.6284289276808, 24.33915211970075, 114.13965087281795)",0.896633922823306,,,,,
102,237,"(43.151898734177216, 58.9957805907173, 106.79746835443038)",0.6620256483189083,,,,,
103,280,"(42.957142857142856, 72.58214285714286, 98.48571428571428)",0.6813386925869996,,,,,
104,153,"(41.95424836601307, 85.6797385620915, 92.81045751633987)",0.8541569142371366,,,,,
105,196,"(42.45918367346939, 106.54591836734694, 109.06122448979592)",0.6818026623168483,,,,,
106,101,"(42.772277227722775, 47.51485148514851, 87.51485148514851)",0.8544298170405434,,,,,
107,216,"(43.800925925925924, 105.23611111111111, 67.16203703703704)",0.7370382193950927,,,,,
108,141,"(44.09929078014184, 70.21985815602837, 83.47517730496453)",0.7899944316927762,,,,,
109,246,"(45.81707317073171, 93.42276422764228, 79.0650406504065)",0.615034747474329,,,,,
110,101,"(43.42574257425743, 104.98019801980197, 87.46534653465346)",0.884780293125877,,,,,
111,77,"(44.33766233766234, 42.90909090909091, 102.57142857142857)",0.8989419727207656,,,,,
112,211,"(45.691943127962084, 47.70616113744076, 115.67772511848341)",0.8082650743066795,,,,,
113,101,"(46.42574257425743, 18.980198019801982, 99.95049504950495)",0.9077745434692706,,,,,
114,115,"(46.356521739130436, 28.6, 100.79130434782608)",0.8706198493540681,,,,,
115,88,"(45.63636363636363, 85.73863636363636, 76.60227272727273)",0.9057711095224014,,,,,
116,86,"(47.72093023255814, 40.80232558139535, 112.13953488372093)",0.8717545850913987,,,,,
117,72,"(47.375, 81.38888888888889, 106.61111111111111)",0.9138819453449623,,,,,
118,119,"(49.252100840336134, 47.739495798319325, 82.32773109243698)",0.8675033162718285,,,,,
119,84,"(49.13095238095238, 50.392857142857146, 98.96428571428571)",0.8801175559921786,,,,,
120,82,"(49.21951219512195, 89.6219512195122, 111.15853658536585)",0.8791048907840547,,,,,
121,72,"(51.583333333333336, 68.26388888888889, 112.76388888888889)",0.902714074064956,,,,,
122,337,"(54.37091988130564, 88.79821958456974, 97.64391691394658)",0.6873551733051895,,,,,
123,87,"(52.298850574712645, 92.44827586206897, 65.73563218390805)",0.8634577146466796,,,,,
124,61,"(50.98360655737705, 107.77049180327869, 97.55737704918033)",0.9041766020753996,,,,,
125,47,"(52.765957446808514, 33.808510638297875, 107.91489361702128)",0.9344397621325476,,,,,
126,67,"(53.134328358208954, 58.43283582089552, 111.08955223880596)",0.8849315333683817,,,,,
127,59,"(52.91525423728814, 78.35593220338983, 109.91525423728814)",0.8583552523977795,,,,,
128,74,"(53.945945945945944, 22.864864864864863, 107.01351351351352)",0.8837413535907087,,,,,
129,103,"(53.54368932038835, 71.85436893203884, 84.4368932038835)",0.8756749478128941,,,,,
130,171,"(54.12280701754386, 99.44444444444444, 81.30409356725146)",0.7378196793840566,,,,,
131,85,"(54.51764705882353, 86.3529411764706, 78.4)",0.8659155972332362,,,,,
132,82,"(55.829268292682926, 54.71951219512195, 96.8780487804878)",0.8965433865781016,,,,,
133,109,"(55.88073394495413, 103.06422018348624, 115.87155963302752)",0.8984824088236447,,,,,
134,30,"(55.733333333333334, 108.63333333333334, 117.0)",0.8721752045245473,,,,,
135,48,"(56.375, 72.77083333333333, 119.27083333333333)",0.9909834648871574,,,,,
136,85,"(56.705882352941174, 104.51764705882353, 72.8)",0.875015613746732,,,,,
137,106,"(58.34905660377358, 67.87735849056604, 78.52830188679245)",0.86420846986624,,,,,
138,122,"(60.60655737704918, 57.385245901639344, 116.29508196721312)",0.8036298374932528,,,,,
